,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,hilo,19.73,-155.09,84.2,54,1,5.82,US,1593809865
1,tucupita,9.06,-62.05,81.23,84,100,5.23,VE,1593809918
2,yellowknife,62.46,-114.35,64.4,68,75,11.41,CA,1593809708
3,hobart,-42.88,147.33,44.6,70,75,14.99,AU,1593809812
4,chernenko,44.37,39.31,70.25,81,0,1.68,RU,1593809919
5,dikson,73.51,80.55,51.06,70,100,15.1,RU,1593809919
6,albany,42.6,-73.97,78.01,74,100,5.01,US,1593809919
7,butaritari,3.07,172.79,82.85,73,68,11.45,KI,1593809919
8,evensk,61.95,159.23,51.08,69,100,5.35,RU,1593809920
9,johnstown,40.33,-78.92,87.8,33,1,12.75,US,1593809920
10,kielce,50.87,20.63,66.0,100,100,5.32,PL,1593809920
11,lagoa,39.05,-27.98,69.03,90,62,7.81,PT,1593809920
12,varberg,57.11,12.25,57.99,88,100,27.0,SE,1593809862
13,atuona,-9.8,-139.03,80.13,75,4,23.62,PF,1593809921
14,aksarka,66.56,67.8,54.43,72,0,1.21,RU,1593809921
15,hithadhoo,-0.6,73.08,85.15,65,97,8.75,MV,1593809921
16,vaini,-21.2,-175.2,69.8,73,40,8.05,TO,1593809921
17,avarua,-21.21,-159.78,78.8,78,5,5.82,CK,1593809922
18,komsomolskiy,40.43,71.72,69.8,43,0,4.7,UZ,1593809922
19,broken hill,-31.95,141.43,39.2,93,0,6.93,AU,1593809922
20,yeppoon,-23.13,150.73,53.6,87,40,5.73,AU,1593809922
21,dongsheng,39.82,109.98,66.65,57,100,18.97,CN,1593809922
22,nueva loja,0.08,-76.88,82.4,78,75,2.24,EC,1593809922
23,busselton,-33.65,115.33,53.01,64,68,14.54,AU,1593809923
24,margate,51.38,1.39,62.01,82,96,4.0,GB,1593809923
25,thompson,55.74,-97.86,82.4,37,75,5.82,CA,1593809923
26,smithers,54.78,-127.17,53.6,81,90,2.24,CA,1593809923
27,kurilsk,45.23,147.88,54.61,79,6,8.79,RU,1593809924
28,port lincoln,-34.73,135.87,54.03,78,62,7.34,AU,1593809924
29,lompoc,34.64,-120.46,71.01,60,9,13.87,US,1593809924
30,kyra,49.58,111.98,55.45,80,45,4.0,RU,1593809924
31,khatanga,71.97,102.5,49.98,63,0,12.35,RU,1593809924
32,severo-kurilsk,50.68,156.12,49.39,68,28,13.71,RU,1593809925
33,hualmay,-11.1,-77.61,64.72,68,3,6.6,PE,1593809925
34,saint-philippe,-21.36,55.77,68.0,68,20,10.29,RE,1593809925
35,orlik,52.52,99.83,53.65,74,24,1.7,RU,1593809925
36,santa maria,-29.68,-53.81,46.24,76,0,1.43,BR,1593809925
37,waingapu,-9.66,120.26,74.95,84,48,12.91,ID,1593809925
38,souillac,-20.52,57.52,69.8,77,75,13.87,MU,1593809926
39,bethel,41.37,-73.41,84.2,62,75,8.05,US,1593809676
40,wanning,18.8,110.4,81.43,89,100,9.62,CN,1593809926
41,shumikha,55.23,63.3,55.09,85,11,6.6,RU,1593809926
42,salisbury,51.07,-1.8,57.99,93,100,16.11,GB,1593809926
43,harper,4.38,-7.72,75.6,85,80,10.83,LR,1593809927
44,kieta,-6.22,155.63,80.04,78,86,5.32,PG,1593809927
45,klyuchi,52.27,79.17,60.44,76,10,6.44,RU,1593809927
46,rikitea,-23.12,-134.97,71.01,71,41,18.99,PF,1593809928
47,srednekolymsk,67.45,153.68,44.49,89,100,13.8,RU,1593809928
48,bluff,-46.6,168.33,39.0,83,100,3.0,NZ,1593809928
49,mataura,-46.19,168.86,39.0,83,100,3.0,NZ,1593809928
50,rocha,-34.48,-54.33,47.32,85,91,5.88,UY,1593809928
51,ushuaia,-54.8,-68.3,28.4,100,90,5.82,AR,1593809719
52,barcelos,41.54,-8.62,69.01,77,0,12.75,PT,1593809637
53,kodiak,57.79,-152.41,62.6,67,90,4.7,US,1593809929
54,olafsvik,64.89,-23.71,52.02,68,64,5.7,IS,1593809929
55,cherskiy,68.75,161.3,49.39,82,100,8.1,RU,1593809929
56,gamba,-2.65,10.0,74.08,85,100,8.39,GA,1593809930
57,ambilobe,-13.2,49.05,68.88,81,74,2.39,MG,1593809930
58,punta arenas,-53.15,-70.92,33.8,100,90,3.36,CL,1593809930
